review_text,review_id,true_labels,predicted_labels,false_positives,false_negatives,n_false_positives,n_false_negatives
Wann erscheint die App für den Desktop PC? Ich bin sehbehindert. Die App auf dem kleinen Smartphone Display zu nutzen ist unmöglich. Die Nutzung auf dem Tablet scheitert wegen fehlender NFC Schnittstelle 🙁,9482eefe-2184-44f0-91f9-57f41e7d5084,auth_registration;usability_ui,auth_registration;tech_stability_crash;usability_ui,tech_stability_crash,,1,0
Saubere Sache.,fc84c860-26a5-4328-8a80-aa8e6e3b38bd,general_feedback,customer_service;document_management;general_feedback;tech_stability_crash;usability_ui,customer_service;document_management;tech_stability_crash;usability_ui,,4,0
HEK Ist in Sachen Kommunikation das letzte. Leider ist der Wechsel zu einer guten Kasse in meinem Fall zu problematisch,e19e5dbf-3ffc-4145-afc8-cf33b5937250,customer_service;general_feedback,customer_service;document_management;general_feedback;tech_stability_crash;usability_ui,document_management;tech_stability_crash;usability_ui,,3,0
"Seit Ende 2024 läuft die App relativ stabil: ab und zu funktioniert die Anmeldung nicht sofort (dann aber beim 2. Versuch), Dokumente lassen sich mittlerweile ohne Probleme versenden, Schreiben und Lesen auf dem Dateisystem funktioniert zuverlässig (zum Speichern und Hochladen von PDF). Fazit: Meine komplette Kommunikation läuft mittlerweile hierüber.",34bef95d-fec6-4533-aaa5-38efda088867,auth_registration;document_management;general_feedback;tech_stability_crash,customer_service;document_management;general_feedback;tech_stability_crash;usability_ui,customer_service;usability_ui,auth_registration,2,1
"Gute App, aber manchmal hat Fehler mit Dateien hochgeladen.",8552ac17-4c76-46d9-9263-5fa48a738637,document_management;general_feedback;tech_stability_crash,customer_service;document_management;general_feedback;tech_stability_crash;usability_ui,customer_service;usability_ui,,2,0
Seit Wochen ist es nicht möglich sich als Smart -User anzumelden. Leider auch nicht nach dem Update,13730539383,auth_registration;updates_versions,auth_registration;tech_stability_crash;usability_ui,tech_stability_crash;usability_ui,updates_versions,2,1
"leider nur einen Stern ich würde am liebsten Null vergeben und ich verstehe nicht warum man sich hier mit dem Personalausweis identifizieren soll , die App könnt ihr in die Tonne treten die schlechteste App die ich jemals gesehen habe",f614f6c7-6d19-40e2-a409-713bf50cba7e,auth_registration;general_feedback,auth_registration;tech_stability_crash;usability_ui,tech_stability_crash;usability_ui,general_feedback,2,1
Startseite friert immer ein. nix geht.,d1be1286-fb72-49e7-a16b-8294da193711,tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,auth_registration;usability_ui,,2,0
An sich ist die app ganz nett. Allerdings funktioniert die Smartfunktion überhaupt nicht. Die Registrierung funktioniert mal so garnicht wie soll ich den Rots nutzen wenn ich mich nicht mal registrieren kann. Es hat vorher schon semi gut funktioniert aber mit der Ausweispflicht ist es noch Unnützer und sinnloser geworden. Ab Hauptsache wir erhöhen immer weiter die Beiträge. Schade sonst ist die Idee ganz nett,10814234977,auth_registration;general_feedback,auth_registration;tech_stability_crash;usability_ui,tech_stability_crash;usability_ui,general_feedback,2,1
"Seit dem Update unbrauchbar. Auch ein neu installieren und neu anmelden bringt kein Erfolg.
„Hinweis: Ein unerwarteter Fehler ist aufgetreten. Bitte versuchen Sie es später erneut.“",11499336120,auth_registration;tech_stability_crash;updates_versions,auth_registration;tech_stability_crash;usability_ui,usability_ui,updates_versions,1,1
Der Service ist super schlecht und sehr langsam. Die App hat oft Fehler und geht nicht. Bereue es von der AOK weggegangen zu sein.,13368833616,customer_service;general_feedback;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,auth_registration;usability_ui,customer_service;general_feedback,2,2
"Für die Anforderung der GesundheitsId scheitert man schon beim Eingeben der Email Adresse, da keine Tastatur erschein respektive von einem Overlay verdeckt wird. Iphone Pro Max aktuelles IOS",13476629034,auth_registration;usability_ui,auth_registration;tech_stability_crash;usability_ui,tech_stability_crash,,1,0
könnte besser werden,6cc33a7e-62aa-4568-ae75-cdce588bec7d,general_feedback,auth_registration;tech_stability_crash;usability_ui,auth_registration;tech_stability_crash;usability_ui,general_feedback,3,1
Nicht alles find ich toll zu.B. die Zahnreinigungs-Rückerstattungsklausel die nicht mehr erstattet wird. Sonst ist die HEK aber gut. Freundliche Mitarbeiter und schnelle Hilfe.,22ec741f-5926-42dd-b7f5-e0b97f3c5202,customer_service;general_feedback,customer_service;document_management;general_feedback;usability_ui,document_management;usability_ui,,2,0
Bin damit rund herum zufrieden.,0a3d2d3b-5c29-4755-9374-1f25800c2f39,general_feedback,customer_service;document_management;general_feedback;usability_ui,customer_service;document_management;usability_ui,,3,0
